id,Name,State
1,Asheville,North Carolina
2,Austin,Texas
3,Boston,Massachusetts
4,Broward,Florida
5,Cambridge,Massachusetts
6,Chicago,Illinois
7,Clark County,Nevada
8,Columbus,Ohio
9,Denver,Colorado
10,Hawaii,Hawaii
11,Jersey City,New Jersey
12,Los Angeles,California
13,Nashville,Tennessee
14,New Orleans,Louisiana
15,New York City,New York
16,Oakland,California
17,Pacific Grove,California
18,Portland,Oregon
19,Rhode Island,Rhode Island
20,Salem,Oregon
21,San Diego,California
22,San Francisco,California
23,San Mateo,California
24,Santa Clara,California
25,Santa Cruz,California
26,Seattle,Washington
27,Twin Cities,Minnesota,